ENDPOINT,pos_weight,AUC,ACC,BACC,TN,TP,FP,FN,PR,RC,F1
NR-AR,1.0,0.8589410086431148,0.9741496598639456,0.7205882352941176,1.0,0.4412,0.0,0.5588,1.0,0.4412,0.6122
NR-Aromatase,1.0,0.825238401106774,0.9383561643835616,0.5261129502445774,0.9982,0.0541,0.0018,0.9459,0.9673,0.0541,0.1
NR-PPAR-gamma,1.0,0.7732030015797788,0.975346687211094,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SR-HSE,1.0,0.8331433224755701,0.9388379204892966,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
NR-AR-LBD,1.0,0.8648880105401845,0.9765739385065886,0.7361001317523057,0.9939,0.4783,0.0061,0.5217,0.9875,0.4783,0.5789
NR-ER,1.0,0.7125700220675608,0.8801261829652997,0.563041079612969,0.9982,0.1279,0.0018,0.8721,0.9859,0.1279,0.2245
SR-ARE,1.0,0.7933638943462127,0.8564273789649416,0.5542348832132722,0.9862,0.1222,0.0138,0.8778,0.8989,0.1222,0.2037
SR-MMP,1.0,0.8660247432306256,0.8886925795053003,0.7130718954248366,0.9706,0.4556,0.0294,0.5444,0.9394,0.4556,0.5655
NR-AhR,1.0,0.8329434232513727,0.9122541603630864,0.6534972547147291,0.9831,0.3239,0.0169,0.6761,0.9503,0.3239,0.4423
NR-ER-LBD,1.0,0.75,0.9559659090909092,0.5694444444444444,1.0,0.1389,0.0,0.8611,1.0,0.1389,0.2439
SR-ATAD5,1.0,0.7937559604477238,0.9594972067039106,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SR-p53,1.0,0.7874218749999999,0.9411764705882352,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
NR-AR,2.0,0.825123772761601,0.9755102040816328,0.7772719644205757,0.9957,0.5588,0.0043,0.4412,0.9924,0.5588,0.6786
NR-Aromatase,2.0,0.8346262167103118,0.9434931506849316,0.5666534907851178,0.9982,0.1351,0.0018,0.8649,0.9867,0.1351,0.2326
NR-PPAR-gamma,2.0,0.7725118483412322,0.9768875192604006,0.53125,1.0,0.0625,0.0,0.9375,1.0,0.0625,0.1176
SR-HSE,2.0,0.8384771986970684,0.9495412844036696,0.599185667752443,0.9984,0.2,0.0016,0.8,0.9919,0.2,0.3265
NR-AR-LBD,2.0,0.8765480895915679,0.9795021961932652,0.8005599472990778,0.9924,0.6087,0.0076,0.3913,0.9877,0.6087,0.6667
NR-ER,2.0,0.7305423527414701,0.889589905362776,0.6126294347309456,0.9927,0.2326,0.0073,0.7674,0.9696,0.2326,0.3636
SR-ARE,2.0,0.8164592883649857,0.8564273789649416,0.6319799170486793,0.9528,0.3111,0.0472,0.6889,0.8684,0.3111,0.3944
SR-MMP,2.0,0.8810807656395891,0.8957597173144877,0.7533146591970121,0.9622,0.5444,0.0378,0.4556,0.9351,0.5444,0.6242
NR-AhR,2.0,0.8211267605633803,0.913767019667171,0.6977082835999044,0.9729,0.4225,0.0271,0.5775,0.9397,0.4225,0.5128
NR-ER-LBD,2.0,0.7656769793745842,0.9588068181818182,0.6497837658017298,0.994,0.3056,0.006,0.6944,0.9808,0.3056,0.4314
SR-ATAD5,2.0,0.774080208803895,0.9594972067039106,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SR-p53,2.0,0.7930468749999999,0.951470588235294,0.6109375,0.9969,0.225,0.0031,0.775,0.9863,0.225,0.3529
NR-AR,3.0,0.8201728622975581,0.9714285714285714,0.6911764705882353,1.0,0.3824,0.0,0.6176,1.0,0.3824,0.5532
NR-Aromatase,3.0,0.8468797865507189,0.9434931506849316,0.6296506744404368,0.989,0.2703,0.011,0.7297,0.961,0.2703,0.3774
NR-PPAR-gamma,3.0,0.8425157977883097,0.9784283513097072,0.5929601105845181,0.9984,0.1875,0.0016,0.8125,0.9916,0.1875,0.3
SR-HSE,3.0,0.8668973941368079,0.9495412844036696,0.622557003257329,0.9951,0.25,0.0049,0.75,0.9808,0.25,0.3774
NR-AR-LBD,3.0,0.8824110671936758,0.9809663250366032,0.8222990777338604,0.9924,0.6522,0.0076,0.3478,0.9885,0.6522,0.6977
NR-ER,3.0,0.7242403666610084,0.8769716088328076,0.6249363435749449,0.9708,0.2791,0.0292,0.7209,0.9053,0.2791,0.381
SR-ARE,3.0,0.7857454704213054,0.8631051752921536,0.6770683256930801,0.943,0.4111,0.057,0.5889,0.8783,0.4111,0.4744
SR-MMP,3.0,0.8869397759103642,0.8904593639575972,0.7681839402427637,0.9475,0.5889,0.0525,0.4111,0.9181,0.5889,0.631
NR-AhR,3.0,0.852900453568871,0.903177004538578,0.7537240391501552,0.9441,0.5634,0.0559,0.4366,0.9097,0.5634,0.5556
NR-ER-LBD,3.0,0.7952844311377246,0.9573863636363636,0.6490352628077178,0.9925,0.3056,0.0075,0.6944,0.9761,0.3056,0.4231
SR-ATAD5,3.0,0.8512272248155398,0.9608938547486032,0.5337549565828439,0.9985,0.069,0.0015,0.931,0.9793,0.069,0.125
SR-p53,3.0,0.7741796874999999,0.9485294117647058,0.69140625,0.9828,0.4,0.0172,0.6,0.9588,0.4,0.4776
NR-AR,5.0,0.8153058655701938,0.9755102040816328,0.7492867332382311,0.9986,0.5,0.0014,0.5,0.9972,0.5,0.6538
NR-Aromatase,5.0,0.8139730223825288,0.940068493150685,0.6530213943376649,0.9817,0.3243,0.0183,0.6757,0.9466,0.3243,0.4068
NR-PPAR-gamma,5.0,0.8282977883096366,0.9722650231124808,0.6507207740916272,0.9889,0.3125,0.0111,0.6875,0.9658,0.3125,0.3571
SR-HSE,5.0,0.8524429967426709,0.9403669724770642,0.687785016286645,0.9756,0.4,0.0244,0.6,0.9424,0.4,0.4507
NR-AR-LBD,5.0,0.8998682476943345,0.9780380673499268,0.8417654808959156,0.9879,0.6957,0.0121,0.3043,0.9829,0.6957,0.6809
NR-ER,5.0,0.7457350195213037,0.8564668769716088,0.6571889322695638,0.9307,0.3837,0.0693,0.6163,0.8469,0.3837,0.4204
SR-ARE,5.0,0.8296878410827331,0.8347245409015025,0.783846321763807,0.8566,0.7111,0.1434,0.2889,0.8322,0.7111,0.5639
SR-MMP,5.0,0.8876633986928105,0.8816254416961131,0.8124883286647993,0.9139,0.7111,0.0861,0.2889,0.892,0.7111,0.6564
NR-AhR,5.0,0.8400811649558366,0.8940998487140696,0.7548340892814513,0.9322,0.5775,0.0678,0.4225,0.8949,0.5775,0.5395
NR-ER-LBD,5.0,0.8144960079840319,0.9573863636363636,0.6753160345974717,0.9895,0.3611,0.0105,0.6389,0.9718,0.3611,0.4643
SR-ATAD5,5.0,0.8564473221904331,0.9664804469273744,0.6027204738242232,0.9985,0.2069,0.0015,0.7931,0.993,0.2069,0.3333
SR-p53,5.0,0.8063671875,0.9470588235294116,0.690625,0.9812,0.4,0.0188,0.6,0.9552,0.4,0.4706
NR-AR,10.0,0.8585633968280607,0.9714285714285714,0.8171100109087858,0.9872,0.6471,0.0128,0.3529,0.9805,0.6471,0.6769
NR-Aromatase,10.0,0.8240525717673799,0.9246575342465754,0.7581896338751914,0.9488,0.5676,0.0512,0.4324,0.9173,0.5676,0.4884
NR-PPAR-gamma,10.0,0.8572274881516588,0.9614791987673345,0.6756516587677726,0.9763,0.375,0.0237,0.625,0.9406,0.375,0.3243
SR-HSE,10.0,0.8296824104234526,0.918960244648318,0.6880700325732899,0.9511,0.425,0.0489,0.575,0.8969,0.425,0.3908
NR-AR-LBD,10.0,0.903820816864295,0.9677891654465594,0.8574440052700922,0.9758,0.7391,0.0242,0.2609,0.9682,0.7391,0.6071
NR-ER,10.0,0.6966346969954168,0.7870662460567823,0.6807630283483279,0.8266,0.5349,0.1734,0.4651,0.7552,0.5349,0.4053
SR-ARE,10.0,0.8053700065487885,0.7362270450751253,0.7579022047587862,0.7269,0.7889,0.2731,0.2111,0.7429,0.7889,0.4733
SR-MMP,10.0,0.8908963585434173,0.8392226148409894,0.8278244631185807,0.8445,0.8111,0.1555,0.1889,0.8392,0.8111,0.616
